nombre,correo,cedula,telefono,password,direccion,id_carrera,id_estado,periodos_cursados,asignaturas_aprobadas,indice_general
Jennifer Turner,jturner@gmail.com,312-1450211-3,823-960-5439,equipo5*123,Calle 37 Maple,21,2,6,42,3.535272921
Lucas Vaughan,lvaughan@gmail.com,999-0467011-6,336-096-9629,equipo5*123,Calle 42 Elm,18,2,20,160,3.282233822
David Clarkson,dclarkson@gmail.com,856-2516470-0,424-265-2670,equipo5*123,Calle 57 Pine,5,2,4,32,3.919785624
Madeleine Ross,mross@gmail.com,884-3842571-9,168-902-9650,equipo5*123,Calle 23 Oak,5,2,11,88,3.53370264
Dominic Bower,dbower@gmail.com,999-9559336-5,763-097-9158,equipo5*123,Calle 86 Pine,3,1,14,84,3.995504461
William Bond,wbond@gmail.com,411-7343933-0,388-483-2420,equipo5*123,Calle 72 Main,6,1,15,120,3.671179399
Bernadette McLean,bmclean@gmail.com,295-5098199-6,657-976-3277,equipo5*123,Calle 98 Oak,12,2,1,8,3.470324323
Deirdre Lee,dlee@gmail.com,590-4384173-2,700-712-2103,equipo5*123,Calle 39 Maple,19,1,18,144,3.515808899
Lily Pullman,lpullman@gmail.com,710-0045798-5,290-444-6552,equipo5*123,Calle 67 Main,29,1,19,114,3.118129435
Sue King,sking@gmail.com,177-5381203-6,608-897-9080,equipo5*123,Calle 80 Maple,15,2,5,40,3.034083727
Amy Terry,aterry@gmail.com,253-2241503-1,225-055-0716,equipo5*123,Calle 84 Oak,15,1,1,7,3.400339042
Alison Rutherford,arutherford@gmail.com,733-1339656-2,981-507-3045,equipo5*123,Calle 10 Main,26,1,20,160,3.121720259
Anna Coleman,acoleman@gmail.com,431-5798104-3,271-246-6464,equipo5*123,Calle 37 Elm,21,2,6,42,3.178112915
Brian Lee,blee@gmail.com,783-7068380-1,152-124-3379,equipo5*123,Calle 97 Maple,4,1,4,28,3.21788764
Lucas Young,lyoung@gmail.com,975-9420499-2,520-814-9709,equipo5*123,Calle 91 Elm,19,1,6,42,3.506220669
Lisa Graham,lgraham@gmail.com,488-2427294-4,646-116-1341,equipo5*123,Calle 15 Maple,10,1,1,7,3.356926857
Alison Grant,agrant@gmail.com,868-2371720-1,500-627-4026,equipo5*123,Calle 94 Maple,20,1,13,91,3.538283802
Michelle Black,mblack@gmail.com,532-5864192-3,732-755-9911,equipo5*123,Calle 26 Oak,29,1,13,78,3.480932782
Carl Fisher,cfisher@gmail.com,633-6277791-4,942-335-3991,equipo5*123,Calle 89 Oak,28,1,15,105,3.7719888
Joan Greene,jgreene@gmail.com,859-3352755-0,825-110-3790,equipo5*123,Calle 68 Maple,25,2,3,21,3.339998029
Dominic Black,dblack@gmail.com,664-9364430-7,864-489-6661,equipo5*123,Calle 48 Elm,2,2,3,18,3.118318868
Sean Newman,snewman@gmail.com,439-5943361-8,854-930-9977,equipo5*123,Calle 62 Oak,7,2,4,28,3.241277607
Bernadette Wright,bwright@gmail.com,182-0622806-6,901-978-3374,equipo5*123,Calle 88 Oak,20,2,15,90,3.548056228
Keith Arnold,karnold@gmail.com,248-1887234-8,723-530-7290,equipo5*123,Calle 69 Pine,22,1,3,24,3.802394216
Isaac Vance,ivance@gmail.com,768-9636707-1,239-454-7222,equipo5*123,Calle 62 Maple,18,2,8,64,3.309217024
Sam Berry,sberry@gmail.com,160-2828679-4,125-059-2138,equipo5*123,Calle 30 Elm,29,1,20,120,3.350825098
Lisa Ince,lince@gmail.com,617-3999088-7,218-896-0768,equipo5*123,Calle 55 Maple,15,1,5,35,3.036445259
Sarah Coleman,scoleman@gmail.com,656-1862086-4,413-976-6239,equipo5*123,Calle 51 Elm,17,2,8,64,3.9116129
Dominic McGrath,dmcgrath@gmail.com,464-4588373-5,966-513-2423,equipo5*123,Calle 96 Pine,19,1,4,24,3.257565548
Julia Cameron,jcameron@gmail.com,706-5351153-9,483-544-9323,equipo5*123,Calle 82 Oak,11,2,2,16,3.556221712
David Mitchell,dmitchell@gmail.com,164-9029116-6,395-864-8610,equipo5*123,Calle 44 Oak,29,2,3,21,3.873060904
Bernadette Smith,bsmith@gmail.com,837-3833631-6,315-477-4053,equipo5*123,Calle 69 Pine,16,2,6,48,3.444690641
Sam May,smay@gmail.com,785-1461147-6,201-705-6785,equipo5*123,Calle 6 Oak,12,2,8,56,3.329022447
Christian Oliver,coliver@gmail.com,293-5838236-6,347-001-7212,equipo5*123,Calle 6 Maple,9,2,15,90,3.872091381
Mary Underwood,munderwood@gmail.com,160-6025751-3,829-322-8341,equipo5*123,Calle 98 Maple,14,1,10,60,3.520609111
Diana Nolan,dnolan@gmail.com,991-7972594-9,661-071-6777,equipo5*123,Calle 69 Main,16,2,9,54,3.45062298
Ava Fisher,afisher@gmail.com,924-0984140-8,834-024-3664,equipo5*123,Calle 16 Main,15,2,19,152,3.957945543
Jack Turner,jturner@gmail.com,872-0311402-7,514-786-4884,equipo5*123,Calle 71 Oak,17,1,10,60,3.596158733
Phil Lewis,plewis@gmail.com,556-2435754-7,710-203-9026,equipo5*123,Calle 26 Oak,22,1,20,140,3.019557766
Brian Chapman,bchapman@gmail.com,272-2021324-9,985-468-7737,equipo5*123,Calle 61 Pine,1,2,7,42,3.097867963
Fiona Black,fblack@gmail.com,635-4793820-1,610-765-0241,equipo5*123,Calle 60 Main,6,2,11,77,3.587402307
Lisa Powell,lpowell@gmail.com,893-7099808-2,688-224-1821,equipo5*123,Calle 42 Main,18,1,4,28,3.113220656
Sue Grant,sgrant@gmail.com,348-7046796-4,892-919-8333,equipo5*123,Calle 15 Pine,2,2,15,120,3.242381918
Carl Hardacre,chardacre@gmail.com,699-4201538-9,207-211-6972,equipo5*123,Calle 74 Oak,22,1,20,120,3.505883523
Sean Lewis,slewis@gmail.com,542-1484620-6,784-873-9583,equipo5*123,Calle 51 Pine,16,1,9,72,3.192164273
Rose Miller,rmiller@gmail.com,840-9259495-3,439-718-5339,equipo5*123,Calle 100 Maple,26,1,15,105,3.042179094
Sean Ince,since@gmail.com,120-1219884-3,671-442-2271,equipo5*123,Calle 36 Elm,6,2,13,104,3.944275336
Dominic Black,dblack@gmail.com,259-7567286-4,222-186-9876,equipo5*123,Calle 66 Oak,19,2,2,12,3.634976325
William Fisher,wfisher@gmail.com,358-0258734-7,927-783-1192,equipo5*123,Calle 43 Oak,10,2,11,77,3.053544688
Joan Wright,jwright@gmail.com,732-9036365-1,477-788-6489,equipo5*123,Calle 80 Oak,7,2,7,49,3.290851069
Audrey Bower,abower@gmail.com,500-8349116-2,897-458-2427,equipo5*123,Calle 83 Maple,18,1,15,120,3.110354182
Heather Black,hblack@gmail.com,954-5089963-3,990-463-5751,equipo5*123,Calle 13 Oak,3,2,19,114,3.807888478
Dominic Payne,dpayne@gmail.com,470-1408977-6,877-350-1688,equipo5*123,Calle 1 Oak,27,1,15,105,3.557073314
Jake Graham,jgraham@gmail.com,329-5372774-0,890-258-5533,equipo5*123,Calle 80 Elm,6,2,13,104,3.215904658
Rebecca King,rking@gmail.com,408-3153158-6,728-030-4488,equipo5*123,Calle 66 Main,6,2,5,30,3.156992965
Jacob Hart,jhart@gmail.com,179-5723546-5,851-813-2814,equipo5*123,Calle 15 Elm,1,2,2,12,3.54123746
Nicholas Bond,nbond@gmail.com,576-2114312-2,417-961-1667,equipo5*123,Calle 23 Main,7,2,1,6,3.156926749
Olivia Vaughan,ovaughan@gmail.com,332-8687668-4,908-410-6676,equipo5*123,Calle 15 Pine,16,2,7,42,3.098440931
Ava May,amay@gmail.com,918-3504716-0,399-198-3521,equipo5*123,Calle 26 Elm,21,1,17,119,3.845636169
Madeleine Grant,mgrant@gmail.com,156-6227491-0,438-044-1457,equipo5*123,Calle 82 Pine,5,2,16,112,3.985107008
Benjamin McGrath,bmcgrath@gmail.com,563-1875384-8,902-025-9700,equipo5*123,Calle 67 Elm,5,1,12,84,3.700481962
Nathan Randall,nrandall@gmail.com,621-5599127-1,254-956-2386,equipo5*123,Calle 39 Elm,5,2,16,112,3.51630063
Lucas King,lking@gmail.com,940-2825000-8,532-557-7127,equipo5*123,Calle 23 Pine,23,2,11,77,3.489336362
Keith Skinner,kskinner@gmail.com,209-8980453-9,548-829-5389,equipo5*123,Calle 54 Main,5,1,17,136,3.571319644
Joan Mitchell,jmitchell@gmail.com,551-0169829-5,327-241-5591,equipo5*123,Calle 83 Main,24,2,16,112,3.849696146
Michelle Anderson,manderson@gmail.com,585-3572031-3,425-521-7367,equipo5*123,Calle 8 Pine,26,2,10,80,3.391369972
